Nome,CPF,DataNascimento,Agencia,Conta,DAC,Email,DDD,Telefone,Endereco,Complemento,Cidade,Estado,CEP
Kléber Martins,449.877.026-90,12/08/1988,529,59853,7,Arturo50@yahoo.com,40,923720254,6027 Martins Alameda,Apto. 270,Grande Roberto,Espírito Santo,49264-855
Salvador Martins,994.457.158-02,14/07/1992,294,81202,8,Thelma39@yahoo.com,11,946222382,6509 Martins Ponte,Apto. 263,Nova Margarida,Bahia,51109
Alessandro Moraes,752.525.468-00,23/10/1971,7021,57877,6,Emily_Silva@hotmail.com,20,952331547,2635 Sirineu Travessa,Quadra 61,Grande Júlio César,Alagoas,96781-022
Raul Santos,116.007.202-77,25/05/1974,5834,73599,5,Joseph_Oliveira@live.com,36,921099604,1402 Franco Rodovia,Lote 44,Reisdo Sul,Santa Catarina,90161-005
Vicente Xavier,042.787.565-00,20/08/1962,3266,176,9,Phyllis.Moreira64@hotmail.com,43,935546314,665 Xavier Rua,Lote 93,Município de Gustavo,Piauí,53754
Dalila Martins,722.338.333-09,08/12/1967,8434,86150,5,Brent_Melo@yahoo.com,40,961603047,349 Alessandra Rua,Quadra 24,Município de Fabrício,São Paulo,79645-693
Ladislau Costa,832.255.164-90,25/02/1970,4114,9255,5,Gene.Macedo13@live.com,59,963074233,5884 Batista Alameda,Apto. 479,Salvadordo Norte,Pernambuco,28847
Fabrícia Moreira,274.063.626-17,12/09/1960,350,85972,2,Ana80@live.com,53,969322528,16621 Hélio Avenida,Sobrado 41,Grande Brenodo Norte,Tocantins,62681
Ricardo Moreira,708.060.701-96,18/01/1976,3269,91867,3,Phil.Carvalho42@yahoo.com,22,941682005,5619 Cecília Avenida,Lote 35,Salvadordo Sul,Acre,16956-722
Warley Franco,564.621.927-20,13/07/1950,1740,28746,1,Jody93@gmail.com,22,927834191,41180 Nataniel Ponte,Sobrado 98,Albuquerquedo Sul,Santa Catarina,08570-768
Antônio Oliveira,882.966.011-68,31/01/1971,1968,22794,3,Eric.Braga@gmail.com,56,938624154,72974 Martins Marginal,Apto. 823,Batistade Nossa Senhora,Acre,62239
Paula Moreira,886.674.061-63,06/06/1958,7482,87000,1,Kurt.Moraes@bol.com.br,57,941259502,31538 Paula Ponte,Quadra 72,Ladislaudo Descoberto,Distrito Federal,88322-631
Fabrício Franco,474.722.992-27,18/06/1953,2511,89060,6,Verna_Albuquerque@yahoo.com,14,945589738,47464 Salvador Travessa,Lote 82,Grande Marcelado Descoberto,Santa Catarina,18649-065
Vitória Costa,704.239.228-07,06/01/1968,4830,33088,6,Leon_Saraiva44@live.com,57,917187058,40926 Heitor Rua,Sobrado 24,Município de Ricardo,São Paulo,27142-676
Salvador Melo,217.285.906-04,12/03/1983,1397,32764,8,Morris94@hotmail.com,43,996804123,173 Júlia Travessa,Sobrado 59,Marcosdo Sul,Espírito Santo,22111
Júlio Pereira,071.050.927-85,23/09/1963,8877,50807,2,Tabitha_Pereira47@hotmail.com,20,963397444,115 Martins Travessa,Quadra 45,Meiredo Descoberto,Pernambuco,63333-940
Marcela Silva,130.690.013-19,05/06/1991,872,13918,5,Ignacio_Saraiva@live.com,18,950875292,44405 Janaína Rua,Casa 7,Nova Ígorde Nossa Senhora,Distrito Federal,60673
Marcos Costa,267.816.159-55,27/07/1984,5249,99590,4,Daisy.Nogueira@yahoo.com,58,981659591,791 Oliveira Ponte,Apto. 152,Félixde Nossa Senhora,Ceará,43917-663
Márcia Batista,812.759.948-49,09/04/1969,482,75561,1,Jose.Macedo69@hotmail.com,43,989882876,2774 Saraiva Avenida,Casa 7,Silasdo Norte,Santa Catarina,07413
Pablo Nogueira,028.491.937-39,25/04/1966,4630,37465,8,Lyle.Moraes@yahoo.com,42,977905411,45077 Marli Travessa,Apto. 200,Município de Morgana,Mato Grosso,64780-131
Suélen Moraes,273.578.359-60,12/04/1996,224,26028,8,Micheal45@bol.com.br,44,993526003,181 Melo Marginal,Apto. 879,Robertado Norte,Amapá,34649
Carlos Xavier,798.417.313-39,06/06/1957,8531,90066,7,Ida84@gmail.com,10,968889163,832 Barros Ponte,Quadra 17,Vila Feliciano,Pará,55517
Rafaela Xavier,056.929.626-91,16/11/1972,4568,29838,9,Gabriel_Santos4@hotmail.com,31,931451706,1130 Martins Alameda,Apto. 391,Nova Gustavo,Alagoas,33265
Meire Braga,774.116.581-03,22/12/1984,4927,1100,7,Jeanne.Carvalho88@hotmail.com,56,923479750,88764 Joana Rua,Casa 7,Nogueirado Norte,Rio Grande do Norte,19979-613
Yuri Nogueira,676.678.329-00,19/07/1956,8781,35834,8,Linda.Carvalho@gmail.com,11,947935140,10558 Warley Alameda,Lote 74,Vila Oféliado Descoberto,Bahia,37605
Cecília Santos,110.968.980-20,16/09/1988,4395,76610,8,Jeremiah_Franco@yahoo.com,24,931794863,9532 Paula Rodovia,Casa 8,Nova Hugodo Norte,Mato Grosso,98261
Dalila Carvalho,010.373.842-88,06/04/1979,6649,89364,7,Shelly85@yahoo.com,53,954559006,50690 Carvalho Rodovia,Lote 30,Nova Sarado Sul,Amazonas,16057
Gúbio Barros,779.323.201-19,01/05/1977,5807,93682,7,Donald_Carvalho@gmail.com,51,942050405,01460 Heitor Marginal,Sobrado 65,Reisdo Descoberto,Tocantins,57589-891
Gúbio Carvalho,604.496.745-09,23/04/1951,1173,1290,6,Maureen.Reis72@hotmail.com,20,926584324,970 Pablo Viela,Quadra 96,Grande Talitade Nossa Senhora,Distrito Federal,46172
Marli Nogueira,773.774.223-94,18/12/1960,64,81896,5,Ginger_Franco@bol.com.br,23,979564289,030 Carvalho Rua,Apto. 576,Marcelodo Sul,Minas Gerais,56351-939
Antônio Franco,847.232.576-83,27/05/1960,8545,47364,4,Milton40@yahoo.com,24,933458665,312 Martins Viela,Sobrado 46,Gustavodo Sul,Roraima,59583
Kléber Franco,965.244.462-67,07/02/1952,8220,19225,4,Floyd.Batista38@live.com,40,971901633,919 Lucas Rodovia,Casa 1,Saraivado Norte,Rio de Janeiro,06288-667
Margarida Pereira,620.041.594-30,14/08/1978,5873,63376,3,Jody_Nogueira78@live.com,19,916973949,6329 Barros Travessa,Sobrado 38,Grande Fabianodo Norte,Acre,75222
Júlio Moraes,487.358.947-92,22/06/1956,934,76937,7,Essie43@gmail.com,54,993526238,895 Xavier Marginal,Quadra 48,Vila Oféliado Sul,Amazonas,62500-594
Pablo Franco,489.368.662-30,15/09/1955,3061,21166,2,Ollie_Albuquerque4@live.com,59,995160186,44122 Carlos Avenida,Casa 6,Rafaelado Norte,Amapá,38795-847
Célia Moraes,640.607.866-75,08/02/1956,9586,69709,6,Clinton30@bol.com.br,10,970487056,672 Esther Ponte,Lote 23,Francodo Descoberto,Paraná,55584
Mércia Barros,951.007.327-09,24/10/1996,8658,78872,2,Jose_Souza@live.com,40,919271290,120 Lorena Marginal,Lote 24,Fabríciado Norte,Ceará,82402-773
Felícia Souza,540.233.993-70,22/01/1996,4648,94986,7,Kay.Silva44@gmail.com,50,933187764,76267 Carvalho Rua,Casa 9,Talitado Sul,Roraima,53271
Sirineu Barros,875.013.804-90,06/12/1960,9461,42320,6,Guadalupe96@yahoo.com,18,964018684,82993 Paula Rua,Sobrado 77,Vila Joanado Descoberto,Acre,75910
Paula Franco,726.054.264-08,08/06/1975,2986,68240,5,Roberta.Albuquerque@yahoo.com,28,969206021,019 Souza Viela,Casa 1,Moraesdo Sul,Roraima,64056
Víctor Albuquerque,160.170.755-00,14/02/1970,5277,44098,2,Karl_Carvalho@yahoo.com,53,954247550,05115 Esther Travessa,Casa 0,Vila Salvadorde Nossa Senhora,Mato Grosso,94146-386
Guilherme Braga,515.573.174-70,04/05/1959,3246,93056,8,Jermaine.Batista@live.com,16,936048198,6851 Dalila Rodovia,Sobrado 13,Vila Vitóriado Sul,Mato Grosso do Sul,59019
Isabela Xavier,803.600.553-03,20/01/1954,5066,26125,6,Terence89@live.com,51,983221553,385 Ladislau Marginal,Lote 25,Warleydo Norte,Pará,98637
Pablo Carvalho,691.614.278-29,15/04/1992,308,68597,4,Caleb_Silva94@yahoo.com,18,943984647,80359 Silva Marginal,Casa 0,Vicentede Nossa Senhora,Bahia,59175-265
Víctor Reis,904.708.964-26,03/06/1984,6033,28944,7,Domingo.Silva93@bol.com.br,29,953024428,286 Santos Travessa,Casa 5,Vila Eduardado Descoberto,Bahia,13119
Antônio Costa,388.261.426-96,21/03/1960,1781,93487,5,Rosie_Melo24@bol.com.br,51,943173572,7000 Macedo Marginal,Quadra 86,Ígordo Sul,Acre,65717
Márcia Oliveira,785.079.868-62,20/06/1974,7976,32896,4,Ashley_Silva@hotmail.com,12,913806108,6381 Costa Rodovia,Lote 97,Barrosde Nossa Senhora,Goiás,26464
Lucas Silva,489.730.960-36,12/10/1959,8253,8053,9,Owen.Santos57@hotmail.com,24,946075664,599 Moreira Rodovia,Casa 9,Albuquerquedo Sul,Rio de Janeiro,21247-338
Márcia Barros,721.720.010-58,06/02/1973,9504,12719,9,Billie.Oliveira69@gmail.com,45,934640614,90837 Oliveira Rodovia,Apto. 422,Fredericodo Norte,Piauí,79500-301
Mércia Silva,957.266.850-16,30/03/1976,3661,50386,2,Ernestine_Moreira@live.com,47,928064597,43896 Márcia Travessa,Apto. 116,Joanado Sul,Bahia,93725
Gustavo Xavier,652.189.243-69,19/01/1990,9477,34824,6,Julio74@gmail.com,32,947899228,55178 Reis Avenida,Casa 7,Município de Carla,Rio de Janeiro,29058
Elísio Nogueira,651.369.085-48,29/09/1973,1881,51021,4,Tony.Carvalho72@live.com,21,967536696,45176 Eduarda Rodovia,Casa 3,Souzado Descoberto,Bahia,65460-998
Yango Batista,517.602.899-90,16/10/1979,6058,56714,8,Edmond74@gmail.com,58,948431094,32742 Natália Marginal,Quadra 70,Washingtonde Nossa Senhora,Bahia,65169
Silas Silva,367.516.025-45,23/07/1957,4989,26058,2,Robert19@yahoo.com,35,958383011,685 Maria Ponte,Quadra 51,Nova Larissa,Alagoas,20568-293
Paula Nogueira,908.273.793-07,18/10/1974,2267,9169,6,Alonzo.Moraes@bol.com.br,29,968141236,06737 Oliveira Marginal,Apto. 170,Grande Lorenado Descoberto,Rio de Janeiro,59577-888
Esther Oliveira,611.378.966-71,18/11/1984,9753,14336,6,Pablo_Moreira1@yahoo.com,22,992376720,7896 Saraiva Marginal,Apto. 229,Vila Felicianodo Sul,Distrito Federal,67650
Júlia Nogueira,054.998.415-19,14/12/1975,9138,78854,9,Jaime.Carvalho@bol.com.br,36,953835575,568 Albuquerque Rua,Apto. 030,Município de Suélen,Pernambuco,51709-419
Lucas Carvalho,826.564.919-32,16/03/1966,8085,1337,2,Ramon.Martins@bol.com.br,40,918577818,68528 Ígor Viela,Sobrado 36,Santosdo Norte,Alagoas,30267
Félix Moraes,341.295.184-61,12/05/1986,4564,14551,8,Lynette32@yahoo.com,55,955341145,80637 Moreira Viela,Sobrado 58,Gustavode Nossa Senhora,Tocantins,24478-537
Fabrício Souza,798.541.308-19,12/03/1987,6398,82805,8,Marc_Xavier72@gmail.com,55,987533868,1408 Pablo Rua,Sobrado 72,Natanieldo Sul,Espírito Santo,25029-585
Alexandre Souza,198.452.459-35,03/03/1978,1940,5464,8,Kristine30@hotmail.com,54,963022240,8334 Albuquerque Rodovia,Sobrado 66,Martinsde Nossa Senhora,Alagoas,75625
Sílvia Pereira,202.830.340-92,12/04/1980,7567,18538,1,Jill.Silva@hotmail.com,22,960113181,65423 Guilherme Viela,Casa 9,Vila Isabeldo Sul,Maranhão,39361
César Costa,911.864.121-00,27/07/1961,2011,2920,2,Randall.Nogueira@bol.com.br,40,961827094,88535 Célia Rodovia,Sobrado 97,Macedode Nossa Senhora,Espírito Santo,98556
Felícia Carvalho,901.588.374-28,18/01/1978,519,52950,1,April.Carvalho@yahoo.com,41,927735959,0672 Hugo Ponte,Apto. 551,Nova Sara,Piauí,06047-910
Meire Santos,326.197.638-19,02/03/1997,2350,25547,9,Candice_Souza64@yahoo.com,59,918753159,554 Pereira Rodovia,Sobrado 67,Washingtondo Sul,Rio Grande do Sul,28121-734
Morgana Santos,393.665.844-70,09/02/1952,9061,118,1,Gordon.Xavier61@hotmail.com,39,929648691,94765 Moraes Alameda,Sobrado 03,Carvalhodo Sul,Mato Grosso do Sul,59154
Isabela Moraes,329.544.838-81,05/09/1955,4450,13633,9,Mabel39@hotmail.com,12,988925632,78441 Norberto Avenida,Sobrado 56,Vila Pablo,Tocantins,91795-859
Fábio Oliveira,278.637.806-08,05/02/1962,3057,58976,4,Belinda24@gmail.com,54,918797498,393 Pedro Ponte,Lote 10,Barrosdo Sul,Tocantins,20663
Marcelo Santos,425.319.197-59,07/03/1971,7842,35603,4,Jeanette64@bol.com.br,25,959752689,450 Nogueira Avenida,Quadra 26,Município de Vicentede Nossa Senhora,Amazonas,71151
Paula Nogueira,608.920.973-29,26/12/1978,5051,74259,3,Jasmine_Franco@yahoo.com,37,985418905,58323 Braga Rodovia,Apto. 121,Nova Carlos,Acre,46656-867
Yago Saraiva,325.397.353-04,23/09/1973,1322,77009,1,Lloyd_Carvalho18@yahoo.com,40,949867722,50183 Isabela Rodovia,Lote 74,Velha Eduarda,Bahia,16826-367
Alessandra Franco,246.633.950-15,31/12/1951,1671,41049,6,Antonia22@live.com,18,911409631,357 Marcela Alameda,Sobrado 63,Lorrainede Nossa Senhora,Pernambuco,03600-488
Felícia Macedo,977.725.854-20,21/10/1992,7399,49697,3,Kirk.Oliveira@bol.com.br,20,994178738,149 Melo Marginal,Sobrado 24,Nova Sirineudo Norte,Mato Grosso do Sul,17677-714
Elísio Xavier,580.666.063-03,14/10/1987,6502,31729,3,Maryann93@live.com,45,989821207,201 Nataniel Marginal,Lote 86,Marcosde Nossa Senhora,Rio Grande do Sul,24700-252
Raul Santos,299.967.978-56,18/04/1989,8289,43008,7,Juana.Albuquerque71@yahoo.com,13,926904212,87731 Reis Marginal,Apto. 888,Município de Suélendo Sul,Santa Catarina,44475
João Albuquerque,248.699.822-50,30/01/1981,5495,62971,8,Patrick_Moraes@bol.com.br,26,919535357,5454 Moreira Viela,Casa 9,Grande Sara,Amazonas,43125
Natália Pereira,709.322.223-40,24/11/1991,863,53451,1,Rene0@live.com,39,960704181,0613 Silva Rodovia,Quadra 38,Velha Washington,Goiás,48664-679
Norberto Santos,463.019.884-93,02/09/1963,2964,95547,2,Meredith_Souza@bol.com.br,12,983504283,8849 Moreira Avenida,Casa 0,Vila Denevaldo Norte,Rio Grande do Norte,65498
Vitória Souza,055.569.511-52,01/02/1966,2479,23088,9,Jesus.Martins@gmail.com,22,951133489,67217 Eduarda Travessa,Apto. 055,Silasdo Norte,Sergipe,81118-123
Esther Pereira,250.387.034-10,03/08/1960,1173,16042,1,Clayton54@gmail.com,54,913149180,01720 Danilo Rua,Apto. 982,Robertodo Descoberto,Espírito Santo,45988-908
Gúbio Santos,336.449.992-60,12/08/1958,8324,47027,5,Edna94@gmail.com,57,934900719,047 Pereira Marginal,Quadra 06,Grande Vicentedo Sul,Rio de Janeiro,30916
Sirineu Macedo,016.633.858-31,06/04/1991,3680,34743,4,Frances.Franco@hotmail.com,30,960032445,27733 Joana Marginal,Apto. 742,Município de Pedrode Nossa Senhora,Paraíba,87036
Silas Nogueira,753.802.764-58,26/07/1999,8281,11304,5,Trevor.Braga43@gmail.com,19,974410108,0145 Fabiano Travessa,Apto. 578,Antôniode Nossa Senhora,Pará,14759
Sirineu Carvalho,983.987.580-90,08/04/1972,3523,95466,8,Kirk_Nogueira@bol.com.br,14,921248413,6423 Carlos Avenida,Lote 10,Moreirado Sul,Goiás,98512-240
Carlos Costa,790.338.827-44,18/07/1973,7829,62471,3,Russell3@live.com,29,912592129,1456 Ígor Marginal,Lote 77,Velha Felícia,Acre,83603
Rafael Macedo,849.432.869-76,31/01/1971,4955,53441,2,Wayne_Franco@gmail.com,42,928120492,635 Xavier Viela,Apto. 379,Estherdo Sul,Rio de Janeiro,08332
Elísio Albuquerque,486.376.491-06,23/02/1965,7426,59,4,Jana.Moreira@gmail.com,31,985037799,855 Ricardo Rodovia,Lote 54,Karlado Descoberto,Pará,96821-187
Deneval Nogueira,582.287.149-63,10/02/1989,348,6926,7,Calvin_Oliveira@bol.com.br,11,962570496,821 Paula Rua,Casa 2,Warleyde Nossa Senhora,Acre,06380
Janaína Franco,620.542.720-60,27/08/1999,265,82859,4,Cecelia52@hotmail.com,11,921211198,4611 Nogueira Rua,Sobrado 75,Nova Heitordo Sul,Alagoas,60230-438
Marcela Moraes,008.421.601-83,05/09/1952,9089,80305,3,Laurie35@hotmail.com,29,997513961,61275 Sílvia Travessa,Apto. 805,Nova Alessandro,Rio de Janeiro,45854-169
Margarida Macedo,611.779.098-80,07/03/1985,6742,64627,9,Lena59@live.com,25,960951526,48972 Antônio Rua,Sobrado 55,Vila Hélio,Goiás,86487-956
Yango Xavier,525.856.511-42,28/08/1979,9076,27011,6,Jeannie.Moreira@hotmail.com,50,978958929,80181 Moreira Alameda,Apto. 211,Carvalhodo Norte,Sergipe,19611-338
Felícia Moraes,089.684.215-01,18/11/1950,7923,91043,2,Darin_Oliveira26@yahoo.com,10,929722559,36766 Vitória Rodovia,Quadra 85,Município de Heitor,Distrito Federal,62941-048
Silas Batista,955.936.405-72,31/12/1961,5440,33066,2,Billie99@hotmail.com,42,926799455,445 Carvalho Ponte,Apto. 597,Xavierdo Descoberto,Paraná,96455-155
Paula Martins,950.248.063-52,19/05/1982,9664,52682,9,Lena_Franco59@bol.com.br,32,971114275,704 Mércia Travessa,Lote 59,Nova Isabel,Rio de Janeiro,37455-173
João Santos,514.923.445-16,17/09/1978,3506,92283,1,Renee78@bol.com.br,30,963991841,6963 João Viela,Apto. 708,Oliveirado Norte,Rio de Janeiro,41132-041
Alessandro Martins,709.849.196-94,17/01/1966,2488,67174,2,Katherine24@hotmail.com,31,941691184,892 Xavier Viela,Apto. 473,Grande Larissado Sul,Acre,22177
Nataniel Reis,671.737.151-05,07/07/1959,7160,67510,1,Isaac.Moreira@yahoo.com,21,982681550,69852 Lucas Ponte,Sobrado 65,Grande Yangodo Sul,Mato Grosso,13412
Natália Pereira,832.995.846-93,14/05/1983,4156,27079,1,Olga.Albuquerque@bol.com.br,24,970025066,78475 Souza Avenida,Casa 4,Vila Frederico,Pernambuco,11904-850
Vicente Santos,066.540.420-42,21/03/1953,3732,44267,2,Beulah1@gmail.com,24,986628954,46086 João Alameda,Sobrado 10,Vila Hugodo Sul,Amazonas,88282
Víctor Melo,545.278.791-70,02/11/1954,2234,61899,2,Beverly_Franco59@yahoo.com,17,998000262,72946 Batista Marginal,Lote 26,Velha Hugo,Tocantins,81570
Antônio Oliveira,523.270.723-01,17/09/1964,3974,54508,6,Ernesto67@bol.com.br,45,994744038,4729 Pereira Viela,Casa 9,Xavierde Nossa Senhora,Tocantins,72874-007
Bruna Costa,554.366.740-03,12/07/1987,4660,6018,4,Michelle_Saraiva@live.com,51,914597603,8416 Martins Avenida,Apto. 674,Saraivado Norte,São Paulo,42994-376
Deneval Moraes,334.214.637-00,27/11/1957,1073,37188,2,Frederick_Saraiva@gmail.com,21,994832479,8386 Carvalho Avenida,Apto. 504,Macedodo Sul,Mato Grosso,56169
Roberta Albuquerque,681.022.395-90,13/07/1969,7972,80850,4,Courtney97@live.com,21,944174394,57136 Núbia Travessa,Casa 0,Vila Natáliado Norte,Distrito Federal,72204-817
João Carvalho,524.279.723-12,31/12/1990,1025,94933,1,Alberta.Carvalho57@gmail.com,29,937941466,31399 Barros Marginal,Apto. 378,Núbiado Descoberto,Rio de Janeiro,25123
Célia Souza,545.883.367-89,14/02/1994,3940,9245,5,Gayle.Albuquerque@bol.com.br,56,968007290,84127 Batista Avenida,Quadra 41,Dalilade Nossa Senhora,Goiás,94011-893
Isabel Souza,753.290.318-42,04/11/1999,7769,75117,3,Nick_Braga@live.com,32,937769893,22557 Washington Travessa,Apto. 790,Nova Norbertodo Descoberto,Amazonas,15655-729
Célia Santos,078.870.984-40,25/09/1952,7848,94975,8,Vera_Saraiva26@hotmail.com,56,995265480,41779 Sara Rodovia,Apto. 272,Souzado Sul,Bahia,16804-763
Morgana Reis,636.615.871-10,27/11/1957,4681,67656,2,Brandi_Batista9@yahoo.com,45,973273016,40189 Breno Avenida,Casa 6,Grande Lorraine,Mato Grosso do Sul,81380-360
Hélio Xavier,518.865.514-48,17/06/1985,8144,14773,5,Alfonso27@yahoo.com,39,951792293,643 Batista Ponte,Lote 87,Vila Carlos,Rio Grande do Sul,03316-945
Paula Batista,687.646.511-00,11/04/1958,9966,24105,4,Jim.Moraes@yahoo.com,29,983984719,990 Saraiva Rodovia,Lote 46,Grande Carlos,Santa Catarina,84854
Suélen Nogueira,747.976.146-50,01/06/1987,2045,5141,4,Esther.Pereira@gmail.com,18,991060128,998 Lorena Travessa,Quadra 89,Melodo Norte,Tocantins,71285
Ofélia Costa,303.303.048-36,25/12/1974,3071,24225,4,Jacob.Oliveira@live.com,13,955495398,492 Hélio Ponte,Apto. 628,Velha Sílvia,Amazonas,21536-794
Maria Nogueira,208.388.888-01,24/08/1992,6268,36198,5,Lucas_Batista@gmail.com,42,912895973,5690 Silva Marginal,Sobrado 40,Eduardado Descoberto,Mato Grosso do Sul,73551-256
Eduardo Carvalho,337.668.253-48,20/12/1970,7813,16428,3,Marianne_Melo@gmail.com,50,986094734,72603 Nataniel Rua,Quadra 07,Vila Larissa,Espírito Santo,35592-541
Elísio Pereira,458.091.754-57,22/10/1966,7335,68575,8,Joshua73@bol.com.br,10,988616708,25005 Gúbio Alameda,Casa 0,Grande Yurido Descoberto,Mato Grosso,82728-216
Breno Carvalho,435.879.143-38,08/07/1955,4916,38232,8,Edmund.Reis@gmail.com,31,950109332,0714 Isabel Ponte,Casa 4,Vila Héliode Nossa Senhora,Minas Gerais,49757
Meire Braga,474.476.679-00,01/01/1972,1837,65460,6,Olive_Souza20@live.com,54,940702914,14978 Janaína Viela,Apto. 003,Marcosdo Sul,Paraíba,08770
Ígor Melo,739.756.415-17,16/01/1975,1860,9159,8,Calvin36@hotmail.com,10,938568312,41320 Sílvia Rodovia,Casa 0,Nova Sirineu,Mato Grosso do Sul,50488-113
Heitor Macedo,244.877.625-37,19/08/1977,3107,23623,4,Leah97@hotmail.com,29,998989506,3048 Raul Ponte,Sobrado 85,Vila Antônio,Pernambuco,19464
Warley Melo,858.864.869-50,18/04/1955,5070,6568,6,James_Silva6@live.com,41,982294879,52834 Esther Viela,Lote 11,Vila Marcelado Norte,Roraima,60530-618
Alessandro Oliveira,753.396.603-11,18/02/1972,8569,32029,2,Garrett_Nogueira96@live.com,25,949461334,20267 Guilherme Marginal,Sobrado 02,Víctordo Descoberto,Rondônia,99180
Fabiano Oliveira,954.552.921-02,28/07/1957,5122,72728,4,Alberto.Xavier13@bol.com.br,12,960948463,11934 Cecília Avenida,Apto. 913,Lucasde Nossa Senhora,Rondônia,05413-996
Fábio Xavier,434.923.619-86,17/11/1983,6468,49862,1,Susan94@hotmail.com,39,971101378,696 Souza Avenida,Quadra 39,Saraivado Descoberto,Rio Grande do Sul,02619-995
Danilo Batista,978.843.594-72,03/07/1954,3433,69659,4,Brent97@bol.com.br,17,963767053,68095 Albuquerque Viela,Sobrado 32,Nova Núbia,Paraná,46297
Eduardo Reis,424.288.937-26,01/09/1951,2350,39569,8,Moses68@live.com,42,952792715,77447 Karla Avenida,Lote 95,Larissado Norte,Espírito Santo,16388
Vicente Franco,710.603.500-92,07/06/1995,6565,72020,8,Jacob.Silva@yahoo.com,17,948413326,920 Souza Marginal,Apto. 774,Nova Márciado Sul,Bahia,39278-029
Vitória Carvalho,719.198.763-40,08/06/1970,9836,1525,1,Dwight.Moreira97@yahoo.com,38,993564267,020 Roberto Rua,Sobrado 22,Município de Ígor,Amazonas,24037-943
Esther Costa,204.146.482-85,07/12/1985,5958,58386,6,Shannon.Santos@hotmail.com,11,936554107,37645 Carla Ponte,Lote 61,Município de Feliciano,Goiás,59194-585
Rafaela Barros,319.514.498-00,06/07/1958,9612,59780,3,Nina91@yahoo.com,42,997779780,50435 Silva Avenida,Apto. 921,Município de Félix,Espírito Santo,40059-220
Fabrícia Santos,520.450.123-10,08/11/1962,8451,79179,1,Pablo33@gmail.com,44,960245894,40731 Paulo Marginal,Quadra 14,Nogueirado Descoberto,Rio Grande do Norte,63428
Paulo Reis,958.311.849-43,19/10/1982,8042,81848,1,Tiffany_Carvalho@hotmail.com,17,976404654,81065 Macedo Ponte,Casa 6,Xavierdo Sul,Alagoas,21830
Júlia Braga,821.438.170-37,26/03/1985,2762,71205,4,Jay_Saraiva@gmail.com,23,922755315,44525 Albuquerque Ponte,Lote 24,Batistade Nossa Senhora,Rondônia,10784
Dalila Moreira,956.422.444-69,07/03/1978,1982,61390,7,Iris_Souza74@hotmail.com,60,963126308,88892 Santos Travessa,Apto. 701,Grande Kléberde Nossa Senhora,Rio Grande do Norte,47261-299
Yago Martins,312.798.248-83,25/09/1983,9887,25740,3,Geoffrey_Santos99@bol.com.br,24,976462572,268 Melo Ponte,Lote 85,Grande Marcelade Nossa Senhora,Alagoas,84653-009
Raul Albuquerque,137.094.947-29,28/03/1958,9737,20406,6,Alma_Saraiva45@hotmail.com,21,971201404,90708 Margarida Alameda,Sobrado 00,Talitade Nossa Senhora,Piauí,57060
Raul Souza,102.311.216-79,23/03/1951,4373,65515,4,Bessie53@gmail.com,19,979845436,298 Oliveira Rua,Casa 3,Grande Robertado Norte,Sergipe,11104
Alexandre Carvalho,672.342.800-57,03/11/1966,9050,57669,2,Eleanor_Barros@bol.com.br,35,913293085,358 Melo Avenida,Lote 54,Albuquerquedo Norte,Rondônia,15464-557
Meire Moraes,817.898.267-64,07/03/1955,8938,50585,5,Vincent39@yahoo.com,11,972100221,7195 Lorena Rodovia,Casa 5,Nova Maria,Santa Catarina,26845
Suélen Braga,995.152.997-64,27/03/2000,3118,76743,4,Cynthia.Moreira@live.com,36,949716589,7442 Pedro Marginal,Apto. 283,Batistade Nossa Senhora,Amazonas,52932-512
Joana Braga,385.857.606-99,10/10/1990,293,9834,1,Connie_Carvalho@hotmail.com,49,925781984,3564 Yago Rua,Apto. 073,Héliode Nossa Senhora,Paraíba,32071-793
Ígor Melo,739.591.941-61,14/11/1981,4664,95168,6,Andrew_Batista50@gmail.com,36,980722270,55997 Morgana Rodovia,Quadra 56,Hugodo Descoberto,Sergipe,00868
Pedro Moreira,548.725.133-98,06/04/1996,6607,79724,8,Ron10@live.com,18,999460555,128 Marli Travessa,Quadra 60,Nova Sara,Mato Grosso,84065-310
César Franco,683.663.972-97,06/12/1986,1919,75698,7,Joel.Braga@bol.com.br,45,920022744,008 Vicente Rodovia,Apto. 075,Carvalhode Nossa Senhora,Pernambuco,42710
Margarida Nogueira,811.854.446-02,09/12/1987,2252,23726,1,Geraldine.Martins93@gmail.com,25,916882784,58680 Martins Marginal,Quadra 39,Santosdo Norte,Amapá,72244
Vitória Carvalho,013.939.966-63,01/06/1984,5356,67210,4,Kevin_Reis@bol.com.br,32,912256819,727 Xavier Viela,Lote 10,Mariade Nossa Senhora,Alagoas,53747-160
Aline Moraes,583.211.847-23,20/09/1966,6345,40077,8,Terrence.Silva@gmail.com,52,952282625,8920 Moraes Avenida,Sobrado 03,Fabianodo Sul,Sergipe,03992
Janaína Silva,582.893.640-91,10/02/1990,5810,17349,8,Jim.Carvalho@hotmail.com,44,971373403,5851 Reis Marginal,Apto. 609,Vila Víctor,Amazonas,80955
César Martins,627.340.120-90,17/12/1962,119,44981,3,Salvador61@bol.com.br,32,967627641,07865 Carvalho Ponte,Quadra 06,Robertodo Norte,Pará,08087-854
